Date/Time (EDT),(hr),Supply1,Supply2,Return1,Return2,(W),(W).1,(gpm),(Btu/hr-ft)
2019-09-10 17:15:00,,,,57.87411,57.79762,,,20.13437,
2019-09-10 17:15:10,,,,57.85879,57.79759,,,20.13437,
2019-09-10 17:15:20,,,,57.85879,57.7823,,,20.01643,
2019-09-10 17:15:30,,,,57.9065,57.83001,,,20.11471,
2019-09-10 17:15:40,,,,57.8912,57.81471,,,19.99677,
2019-09-10 17:15:50,,,,57.8912,57.81471,,,20.0754,
2019-09-10 17:16:00,,,,57.8759,57.79941,,,19.9378,
2019-09-10 17:16:10,,,,57.8759,57.79941,,,20.13437,
2019-09-10 17:16:20,,,,57.8606,57.78411,,,20.21299,
2019-09-10 17:16:30,,,,57.90831,57.83183,,,20.01643,
2019-09-10 17:16:40,,,,57.89301,57.81653,,,20.09505,
2019-09-10 17:16:50,,,,57.87772,57.81653,,,20.05574,
2019-09-10 17:17:00,,,,57.87772,57.80123,,,20.01643,
2019-09-10 17:17:10,,,,57.8777,57.80121,,,20.09505,
2019-09-10 17:17:20,,,,57.92541,57.84892,,,20.21299,
2019-09-10 17:17:30,,,,57.91011,57.83363,,,19.97712,
2019-09-10 17:17:40,,,,57.91011,57.83363,,,20.03608,
2019-09-10 17:17:50,,,,57.91011,57.81833,,,20.05574,
2019-09-10 17:18:00,,,,57.89481,57.80303,,,20.11471,
2019-09-10 17:18:10,,,,57.87952,57.81833,,,20.35059,
2019-09-10 17:18:20,,,,57.86422,57.78773,,,20.25231,
2019-09-10 17:18:30,,,,57.84892,57.78773,,,20.31127,
2019-09-10 17:18:40,,,,57.91613,57.83965,,,19.95746,
2019-09-10 17:18:50,,,,57.91613,57.82435,,,20.0754,
2019-09-10 17:19:00,,,,57.88554,57.82435,,,20.01643,
2019-09-10 17:19:10,,,,57.88552,57.82433,,,19.91814,
2019-09-10 17:19:20,,,,57.88552,57.79374,,,20.03608,
2019-09-10 17:19:30,,,,57.93325,57.85677,,,20.0754,
2019-09-10 17:19:40,,,,57.93325,57.85677,,,19.97712,
2019-09-10 17:19:50,,,,57.91795,57.82617,,,19.89849,
2019-09-10 17:20:00,,,,57.90266,57.82617,,,19.97712,
2019-09-10 17:20:10,,,,57.88736,57.82617,,,19.87883,
2019-09-10 17:20:20,,,,57.88736,57.81087,,,20.01643,
2019-09-10 17:20:30,,,,57.88736,57.81087,,,20.03608,
2019-09-10 17:20:40,,,,57.93507,57.85859,,,20.15402,
2019-09-10 17:20:50,,,,57.91978,57.85859,,,19.91814,
2019-09-10 17:21:00,,,,57.91976,57.82797,,,20.13437,
2019-09-10 17:21:10,,,,57.90446,57.82797,,,20.0754,
2019-09-10 17:21:20,,,,57.88917,57.82797,,,20.01643,
2019-09-10 17:21:30,,,,57.95219,57.87571,,,20.11471,
2019-09-10 17:21:40,,,,57.95219,57.86041,,,19.91814,
2019-09-10 17:21:50,,,,57.9369,57.86041,,,19.9378,
2019-09-10 17:22:00,,,,57.9216,57.84512,,,19.95746,
2019-09-10 17:22:10,,,,57.9216,57.82982,,,20.09505,
2019-09-10 17:22:20,,,,57.9063,57.82982,,,20.11471,
2019-09-10 17:22:30,,,,57.89101,57.81452,,,20.09505,
2019-09-10 17:22:40,,,,57.87571,57.79922,,,19.9378,
2019-09-10 17:22:50,,,,57.87571,57.79922,,,20.05574,
2019-09-10 17:23:00,,,,57.87569,57.7992,,,19.95746,
2019-09-10 17:23:10,,,,57.93872,57.83164,,,19.97712,
2019-09-10 17:23:20,,,,57.90813,57.83164,,,19.9378,
2019-09-10 17:23:30,,,,57.90813,57.83164,,,19.87883,
2019-09-10 17:23:40,,,,57.90813,57.81635,,,20.13437,
2019-09-10 17:23:50,,,,57.89283,57.81635,,,19.97712,
2019-09-10 17:24:00,,,,57.89283,57.80104,,,20.11471,
2019-09-10 17:24:10,,,,57.94057,57.86409,,,20.11471,
2019-09-10 17:24:20,,,,57.92528,57.84879,,,20.19334,
2019-09-10 17:24:30,,,,57.92528,57.8335,,,19.9378,
2019-09-10 17:24:40,,,,57.90999,57.8182,,,19.87883,
2019-09-10 17:24:50,,,,57.90997,57.81818,,,20.03608,
2019-09-10 17:25:00,,,,57.89468,57.81818,,,20.03608,
2019-09-10 17:25:10,,,,57.89468,57.80289,,,20.15402,
2019-09-10 17:25:20,,,,57.87938,57.78759,,,19.99677,
2019-09-10 17:25:30,,,,57.92712,57.85063,,,20.11471,
2019-09-10 17:25:40,,,,57.92712,57.83533,,,20.09505,
2019-09-10 17:25:50,,,,57.91182,57.83533,,,19.97712,
2019-09-10 17:26:00,,,,57.91182,57.82004,,,19.99677,
2019-09-10 17:26:10,,,,57.97906,57.88729,,,20.05574,
2019-09-10 17:26:20,,,,57.96378,57.87199,,,20.11471,
2019-09-10 17:26:30,,,,57.94847,57.87199,,,19.81986,
2019-09-10 17:26:40,,,,57.94847,57.8567,,,20.05574,
2019-09-10 17:26:50,,,,57.94846,57.85668,,,20.05574,
2019-09-10 17:27:00,,,,57.93317,57.84138,,,20.21299,
2019-09-10 17:27:10,,,,57.93317,57.84138,,,20.05574,
2019-09-10 17:27:20,,,,57.93317,57.84138,,,19.95746,
2019-09-10 17:27:30,,,,57.91787,57.84138,,,19.91814,
2019-09-10 17:27:40,,,,57.90257,57.81078,,,19.97712,
2019-09-10 17:27:50,,,,57.90257,57.81078,,,19.9378,
2019-09-10 17:28:00,,,,57.96562,57.87384,,,19.99677,
2019-09-10 17:28:10,,,,57.95033,57.87384,,,20.11471,
2019-09-10 17:28:20,,,,57.93503,57.84325,,,19.99677,
2019-09-10 17:28:30,,,,57.93503,57.84325,,,20.01643,
2019-09-10 17:28:40,,,,57.93503,57.84325,,,19.91814,
2019-09-10 17:28:50,,,,57.91972,57.84324,,,19.99677,
2019-09-10 17:29:00,,,,57.96748,57.8757,,,19.91814,
2019-09-10 17:29:10,,,,57.96748,57.8757,,,19.99677,
2019-09-10 17:29:20,,,,57.96748,57.8757,,,19.97712,
2019-09-10 17:29:30,,,,57.96748,57.8757,,,20.11471,
2019-09-10 17:29:40,,,,57.95218,57.8604,,,20.0754,
2019-09-10 17:29:50,,,,57.93689,57.8604,,,19.9378,
2019-09-10 17:30:00,,,,57.93689,57.8451,,,19.85918,
2019-09-10 17:30:10,,,,57.92159,57.8298,,,19.9378,
2019-09-10 17:30:20,,,,57.92159,57.8451,,,19.99677,
2019-09-10 17:30:30,,,,57.96935,57.87757,,,19.97712,
2019-09-10 17:30:40,,,,57.96935,57.87756,,,20.0754,
2019-09-10 17:30:50,,,,57.96935,57.86227,,,19.83952,
2019-09-10 17:31:00,,,,57.93875,57.86227,,,19.95746,
2019-09-10 17:31:10,,,,57.93875,57.84697,,,20.09505,
2019-09-10 17:31:20,,,,57.93875,57.84697,,,20.05574,
2019-09-10 17:31:30,,,,57.93875,57.84697,,,20.19334,
2019-09-10 17:31:40,,,,57.92345,57.83167,,,20.01643,
2019-09-10 17:31:50,,,,57.97543,57.88364,,,20.11471,
2019-09-10 17:32:00,,,,57.97543,57.88364,,,20.09505,
2019-09-10 17:32:10,,,,57.96013,57.88364,,,20.05574,
2019-09-10 17:32:20,,,,57.96013,57.86834,,,20.0754,
2019-09-10 17:32:30,,,,57.94483,57.85305,,,19.99677,
2019-09-10 17:32:40,,,,57.94482,57.85304,,,20.01643,
